Name,Description
Pylos,"Pylos is a board game invented by David G. Royffe and published by Gigamic."
Squadro,"Squadro is a strategy game for two players, conceptually very simple but extremely rich in depth. It was created by Adrián Jiménez Pascual in March 2015 and is published in 2018 by the company Gigamic."
"Let's Catch the Lion","Let's Catch the Lion is a simple version of Shogi. Both players have only four pieces – chick, giraffe, elephant and lion – and they're trying to either catch the opponent's lion or move their own lion to the other side. The board is just 3×4 squares, so the game is rather short, aimed mostly at getting children interested in Shogi – but even if you're an adult, the game is enjoyable."
Rolit,"Rolit is an easy to learn strategy game that’s fun for the whole family. The aim of the game is to capture your opponent’s Rolit balls and turn balls to make them your color. The player with the most Rolit balls of their color wins!"
"Brain Coral","Brain Coral is a placement game based on the principle of placing pieces, such that afterwards, every site of the board remains connected to an empty site at the perimeter via a series of empty sites. 
            
    Scoring is based on the size of the largest group plus a bonus factor. 
       
    The standard bonus factor is the number of your own groups.
       
    Thus enlarging your largest group has the same value as creating a cloud of singletons, and anything else -- other than forcing your opponent to add to or join together non-largest groups, -- is a wasted opportunity. 
         
    Basic strategy is either
    -- A: to form a defensive cloud to break opponent's efforts into multiple regions, and then, to connect your remaining dots into a single series; or else
    -- B: to create a large group for as long as you can, then cloud the other areas in self-blocking ways. 
        
    The other bonus options are simpler, and thus need larger boards to be interesting:
    
    Bonus for number of opponent's groups, makes play highly cohesive -- you need to form one big group, -- but with an emphasis on controlling empty teritory, because the opponent is penalised when forced to place isolated pieces at the end.
         
    Playing without any bonus play is similar, but decided earlier, as territory is not an issue, only main group size.
    
    Tiebreakers:
    The standard tiebreaker is for the underdog to win based on the largest cascading group size without bonus. 
    If all groups are paired in size with the opponent, last to play wins. 
    For informal play, the tie breaker simplified as last-to-place."
Windflowers,"Windflowers is a finite, 2-4 player, place-or-capture, connectivity game. 
            It is playable on a wide variety of grid and connectivity types.
            
            It is still experimental, as the best scoring and tiebreker combination needs to be resolved.
            Also more investigation is needed concerning the degree that kingmaking will be a broblem for the multiplayer version.
            
            Placement is to empty sites: Capture is by replacing an opponent's stone during placement if that opponent owns more of the surrounding stones than the moving player does. On boards with diagonals, diagonal connections are included in the count to determine if a piece can be captured, but are not used for determining scoring groups discussed below.
            
            Passing is allowed, and the game ends when all players have passed consecutively. The board typically is full at this point, but there might be capture options still available that are disadvantageous to take.
            
            Scoring has 2 options: 
            Either scoring for stones placed, or for the largest group.
            Tie breakers scoring is needed to reduce the frequency of ties.
            
            multi-player cascade group scoring: Between those tied for winner, each pair of players is considered separately and the difference in size of their largest groups (after excluding all pairs of equal-size groups) is awarded to the owner of the larger group for cascade scoring (or to the owner of the smaller group for underdog scoring.)  Underdog tiebreaking is currently prefered.
            In 2-player games, the last player to place is the final tie-breaker.
            
            Finiteness:
            Each individual placement/capture is obviously finite as eventually one of the players with the smallest number of surrounding pieces will have placed there. Proof is needed that, as a whole, cycling is impossible, but this is what is experienced practically, even with multiple players.
            
            If every thing is equal, the last to play wins. Thus on even boards, the first player is obligated to break mirror play to win.
            ----------------------           
            The previous version had the goal of least number of groups. This goal was flawed, allowing the simple strategy of always passing to force a win."
Dodo,"Dodo is a dead simple game where the goal is to run out of moves."
Battleships,"Battleships is a strategy type guessing game for two players. It is played on ruled grids (paper or board) on which each player's fleet of ships (including battleships) are marked. The locations of the fleets are concealed from the other player. Players alternate turns calling shots at the other player's ships, and the objective of the game is to destroy the opposing player's fleet."
Seesaw,"Seesaw is a Draughts-inspired elimination game invented by Alek Erickson and Michael Amundsen in 2021."
Cumisitha,"Cumisitha is a game that was played by the Aymara people of southern Peru and Bolivia in the seventeenth century. It was described by chroniclers as similar to the Game of the Goose, but different in many ways, as well as similar to Chess and Alquerque."
Meridians,"Meridians is an annihilation game featuring anti-connection and territory as emergent themes. The game was invented by Kanare Kato in 2021."
Wali,"Wali is a word used for several games played in West Africa. This particular version was played by the Songhai people of Mali and Niger. "
Gyre,"Gyre is a connection game for a hexhex board designed by Mark Steere."
Fifangha,"Fifangha is a four-row mancala-style board game played in Madagascar in the early seventeenth century."
Resolve,"A square connection game where crosscuts are resolved by swapping stones. Resolve was designed by Alek Erickson in July 2020. The rules were finalized through critical playtesting session with Dale Walton and Luis Bolaños Mures. The game was partly inspired by the swap mechanic from Michael Zapala's Slyde. The original idea for swapping stones to resolve crosscuts can be traced to Phil Leduc's Thruway and Bill Taylor's Swapway as early as 2008, but the notion of a resolving stone where a single stone gets serially swapped to fix cuts in Resolve is novel."
"Ludus Rebellionis 1","The Ludus Rebellionis appears in a sixteenth century Italian manuscript, with three different diagrams. In this version each side plays with a King, Queen, and sixteen Pawns which are intermingled in the starting position.

"
"Ludus Rebellionis 2","The Ludus Rebellionis appears in a sixteenth century Italian manuscript, with three different diagrams. In this version each side plays with a King, Queen, and sixteen Pawns which begin in opposing camps.

"
"Tsoro Yemutatu (Triangle)","Tsoro Yemutatu is an alignment game played by boys, young men, and sometimes adults in Zimbabwe. This version is played on a triangular board, drawn on the ground and played with stones."
Hermit,"Hermit is a game in which players place stones on empty vertices to create connected groups of sizes 1, 3 and 5.
                            It is easy to learn but challenging to master. Although the game is static (pieces do not move),  there is still a dynamic effect because legal placements turn on and off!
                            Hermit can be played on the nodes of any graph, even on a four-dimensional tesseract! Twelve 2-dimensional graphs are included. Some graph require a neutral token to prevent symmetric play by the second player."
"Dongjintian (Four Players)","Dongjintian is a mancala-style board game played in Yunnan Province, China. This four-player version features an orthogonal pattern of sowing not seen in other mancala-style games."
Bao,"Bao is a four-row mancala-style board game played in Zanzibar and Swahili-speaking areas of coastal East Africa."
Ravtablo,"Rävtablo ("Fox Game") is a game that was played by the Sámi people of northern Sweden in the twentieth century."
Wargtablo,"Wargtablo ("Wolf Game") is a game played by the Sámi people of northern Sweden in the twentieth century."
"Zuz Mel (5x5)","Zuz Mel is a capturing game played by children in El Oued, Algeria. This version if played on a 5x5 board."
"Zuz Mel (7x7)","Zuz Mel ("Two and You Are Dead") is a capturing game played in El Oued, Algeria by children. This version is played on a 7x7 board."
"Lian Qi (Bohai)","Lian Qi is a name used for alignment games in China. This versian, smaller than typically found in China, comes from the Bohai State period of Manchuria."
"Kharebga (5x5)","Kharebga is a capturing game played by children in El Oued, Algeria."
"Kharebga (7x7)","Kharebga is a game with custodial captures played by children in El Oued, Algeria."
"Fart (5x5)","Fart is an alignment game played by young people of El Oued, Algeria. In this version, players must place their pieces in a row of five to win."
"Fart (7x7)","Fart is an alignment game played by young people in El Oued, Algeria. This version requires the player to place seven of their pieces in a row."
"Sig (El Oued)","Sig is a name use for many different games in Saharan Africa. This version is played in El Oued, Algeria, and is a representation of the Hajj taken by a father, a mother, and a djinn."
"Sig (El Oued Capture)","Sig is a word used for many different games throughout Saharan Africa. This game, a capturing game played in El Oued, Algeria, was played by children."
T'mbl,"T'mbl is an alignment game played by Chaamba children of Algeria. "
Buqruru,"Buqruru is a two-row mancala-style board game played in the Tidikelt and Haggar regions of Algeria. It is typically made out of holes in the sand, and camel droppings are used as pieces."
Aqrad,"Aqrad is an alignment game played by the Tuareg people in the Haggar region of Algeria. The game is usually played in the sand, and stones and camel droppings are used as pieces."
Tides,"Tides is a capturing game played by the Tuareg people in the Haggar region of Algeria. the game is usually played in the sand, with stones and camel droppings used as pieces."
"Tavli (Zenon)","Tavli is a race game played in the Greek world on a board with twelve points. This version was played by the Byzantine Emperor Zenon in the sixth century."
Ruqi,"Confucian board game of the Northern Zhou period. "
Morpharaoh,"The title of the game Morpharaoh is a nod to capture (morph), connection (a row), a previous square grid connection game by Luis Bolaños Mures' Morphos which inspired it, and to the Cairo tiling used for the board.
  
  The game solves the cross-cut problem of boards with cells that meet 4-to-a-vertex in some locations, by use of a capture based on a majority n of adjacencies, thus preventing immediate recapture. To minimise the amount of captures, and thus provide the a more strategic game than one based on simple majority captures, the captures are limited to those that resolve crosscuts along an existing diagonal connection, using a lobsided 'V' pattern of surrounding stones. -- and restricting edge capture to captures adjacent to an adjacent pair of stones. 
  
  Option is provided for independently relaxing these restrictions.
  A pie offer option has not yet been implemented.  
  
  The boards provided are a 48 cell and 160 cell board, designed specifically to provide an odd number of neighbors to each cell: 5 in the interior, and 3 at every edge cell. The Cairo board is one of the few regualr grids that permit such a condition. It also dilutes the possible cross-cuts to two per location, compared with 4 per location on a square grid."
"Yonin Shogi","A version of 4-player Shogi."
Mulabalaba,"Mulabalaba is an alignment game played in the Livingtone distric tof Zambia."
"Gabata (Adowa)","Gabata is a name that is widely used for different mancala-style games in the northern Horn of Africa. This game, played near Adwa in Ethiopia, it is a three-row game.

"
"Gabata (Three Players)","Gabata is a name that is widely used for different mancala-style games in the northern Horn of Africa. This game, played near Adwa, is a three-row game with three players.

"
Hexshogi,"A version of Shogi played on hexagonal cells."
Unashogi,"A version of Shogi where all pieces start in reserve."
Unachess,"A version of Chess where all pieces start in reserve."
"Four-Player Chess","A version of Chess for 4 players.
A version with 8 players is also available as an option."
Qatranj,"Qatranj is a game with replacement captures played on a 10x10 board with 22 pieces. It was played in nineteenth century India."
MiniXiangqi,"A smaller version of Xiangqi."
"Xiang Hex","A version of Xiangqi played on a hexagonal board."
Labirintus,"The basic idea of the game is to rearrange the balls within the labyrinth rather than finding your way out."
"Tank Tactics","Inspired by a prototype game idea presented at GDC13."
Wari,"Wari is a two-row mancala-style board game played by the Ashanti people of West Africa."
"Shatranj (12x12)","Shatranj is the name for a replacement capture game, played throughout West and South Asia for centuries. This version, played on a 12x12 board, was played in the nineteenth and early twentieth centuries in Punjab."
"Shatranj (14x14)","Shatranj is the name of a game played in West and South Asia for centuries. This version was played in the nineteenth and early twentieth century in Punjab, and was played on a board with 14x14 squares."
"Samoan Game","This game was documented in the nineteenth century in Samoa, but it was already falling out of fashion. The board was made in mats, and the board was not of a predetermined size."
"Seesaw Draughts","Seesaw Draughts is a Draughts variant invented in 2021 by Alek Erickson and Michael Amundsen, and it is based on their game Seesaw."
"Murus Gallicus","Murus Gallicus is a breakthrough game of material balance, tactics, area control, and timing."
Sprout-R-Out,"Sprout-R-Out is a newly invented territorial game for Cairo and limping Hex boards based on an original placement protocol: 
            Players place one stone next to each opponent's group, but without touching any other group. Any group that cannot be played beside is removed.
            
            This creates an capture dynamic superficially like Go where groups get overgrown and die.  Unlike Go, a single, isolated eye, once formed, is enough to give life.
            
            On the other hand, even multiple larger eyes can be insufficient for life, because the timing of capture and the requirement to play against every opponent's group if possible, can leave multiple eyes filled with uncaptured stones.
            
            The feeling of the game definitely not like Go. The game is more tactical because placements are constrained to be adjacent to existing pieces, and multiple pieces are played per turn. 
            
            Spreading pieces out to quickly surround the opponent during your turn can easily backfire, as it leads to more opponent placements and fewer locations needed by the opponent to surround your pieces."
Geister,"In Geister, each player has four good ghosts and four evil ghosts – but only the player who owns a ghost can see whether it's good or evil (as with the pieces in Stratego). These ghosts start the game in the back rows of a 6x6 game board with the corners removed. Each turn, a player moves one of his ghosts one square orthogonally. Moving into an opponent's ghost kills that ghost. To win, you must get rid of your own evil ghosts, kill your opponent's good ghosts, or move one of your good ghosts off the board from one of your opponent's corner squares."
Lava,"Lava is a territorial stacking game invented by Alek Erickson and Michael Amundsen in August 2021."
Netted,"Netted is a race to surround the opponent  Nets include Hex diagonals and single empty spaces, and so can cross each other. It is placement only and so can be played as a paper and pencil game. However the computer version adds markers for the empty space connections which must be removed when the spaces are filled.
            
    The distinctive features are  1) a novel type of liberty for live groups that involves the count of available edge sites, and 2) the novel definitions for surrounding that include diagonals that cut groups, and connections across single empty spaces that can be broken by the opponent's placement.
    
    Moves are forced, suicide is prohibited, stalemate is a loss for the player who is stalemated.
    
    Strategy notes: sites next to the board corners are strong ways to gain the corner territory - Board should be at least 5-6 to avoid winnable edge play."
Shogun,"This game plays on a 8x8 grid, with each player having 7 pawns and 1 King, which start lined up on opposite sides of the board. Each player can remove the other's pieces by moving onto them, as in chess."
Gygoreg,"Gygoreg is a deceptively simple unification game invented by Mike Zapawa in 2020."
Spava,"Spava is based on Yavalath but adapted to the Shibumi set."
"1D Chess","In his column in the July 1980 issue of Scientific American, Martin Gardner (well known for this writings on mathematical recreations), gives the following one dimensional chess variants."
"Viking Chess","Viking Chess was designed to enter the Chess Variant Pages' 84 Spaces Contest."
Lielow,"Lielow is a finite and drawless checkmate game played with stackable checkers instead of differentiated pieces. It was invented by Alek Erickson and Michael Amundsen in the summer of 2021."
HexGo,"Hexagonal Go"
"Branching Coral","Branching Coral is a placement game based on the principle of placing pieces, such that, after placement, every site on the boards still has a connection via empty sites to an empty site at the perimeter. 
            
    Branching Coral differs from its parent game Brain Coral by having a capture mechanism: After placement, all the neighboring stones with less than 2 adjacent empty sites are simultaneously captured. The placed piece itself must have 2 adjacent empty spaces before the captures to be a legal placement.
         
    These capture conditions assure that the game is finite, and that the ending patterns that form are varied and gracefully branched, without thick regions either of pieces or empty space.
                        
    Scoring is based on the size of the largest group plus a bonus factor. 
    The standard bonus factor is number of opponent's pieces captured.  This works to reward capture and thus encourages breaking up opponent's groups, while remaining straight forward in the need to enlarge your largest group, it allows creating come-back groups, or staging combacks by capturing material.
          
    Other bonus options are:
    Bonus for number of your own groups, serving to encourage you to make one large group and many singletons, to break up your opponent's largest group, and to try to force the opponent to connect small groups into medium sized groups. This is similar to Brain Coral, with the added tactical element of capture.
         
    Bonus for number of opponent's groups; which is less interesting because it encourages players to form large clumps and to break up and limit opponent's group growth, and potentially partial mimicry in play. 
         
    Playing without any bonus, is similar to opponent group count bonus, but even more straight forward. It leads to clumping, though there still is a need for defense from captures severing connections. In this version the game will normally be decided early because neither player can extend or break the critical group, and there is not enough space to create a larger one. Thus this option needs the largest boards.
         
    The standard tiebreaker is for the underdog to win based on the largest cascading group size without bonus. 
    If all groups are paired in size with the opponent, last to play wins. 
    For informal play, the tie breaker can be simplified as last-to-place."
Watershed,"Watershed is a square board placement game based on Branching Coral, with the principle of placing pieces, such that, after placement, every site on the boards still has a connection via empty sites to an empty site at the perimeter. 
                            
         Scoring for the standard Plateau version is based on the size of the largest group plus a bonus factor for the number of opponent's pieces captured.  This works to reward capture and thus encourages breaking up opponent's groups, while remaining straight forward in the need to enlarge your largest group, it allows creating come-back groups, or staging combacks by capturing material.
                  
         Ties are broken in favor of the underdog by considering only the largest group size as a negative score without including the capture bonus. Opponent-paired groups of the same size are excluded in this comparison. If all groups are paired in size with the opponent, last to play wins. 
         
         Play is only on odd sized boards to avoid mirror strategy, since last to play also wins.
         
         A Floodplain variant reverses the board connections, group connections, bonus attribution and tie-breaker rules."
Fenix,"In Fenix, two armies fight against each other. The battle of the two kings, their generals and soldiers is a matter of life and death — but Fenix is different from other strategy games: Here, the battle is not automatically lost when one of the kings has been defeated. Why? The phoenix-bird is immortal; if he loses his life, he rises again from the ashes. The cycle starts all over. The king is dead? Long live the king!

—description from the publisher"
"Ikibuguzo (Opening 2)","Ikibuguzo is a four-row mancala-style board game from the Great Lakes Region of Africa. It is closely related to other games in the region, but with different opening positions and the possibility of winning by making a specific capture.

"
Pentomino,"Pentomino tiling puzzles and games are popular in recreational mathematics."
FairKalah,"FairKalah is a William Julius Champion's Kalah with fair initial states."
N-Mesh,"N-Mesh is a game on a square grid that evolved from Netted, an enclosure game on a hex grid. 
   
   The game is a race to deprive the opponent of liberties by surrounding the opponent's stones and or by destroying the liberties by placing stones on them. 
   
   If the players surround each other, the player with fewer captured stones wins, and where the result is still undetermined, the last to play loses. This latter rule prevents players from simply racing to cover up the liberties.  

-------------
   The main differences from Netted is that life in N-Mesh requires only a single liberty for a region, and the liberties are specific cells distributed across the board. (Netted liberties were the edge cells and each stone required its own exclusive liberty)
 
   The difference in geometry also causes differences in connectivity: 
   Both feature 3 types of connectivity used strategically to separate the opponent's stones from liberties. 
   These include adjacency, as well as a short type of connection that can permanently cross the other player's connections and a longer type of connection that can be broken. 
   In N-Mesh the long connections are at knight's move distance, and are broken by a pair of stones placed in between, and the crossing connections are diagonals.

-------------   
   Surrounding is done by nets. A net is made of adjacent stones as well as stones connected by diagonals and single empty spaces. Thus opponent's nets can cross each other and a portion of a net may be surrounded without surrounding the whole net. Having a connection to a living stone does not guarantee life to another stone: what provides life to a stone is having an empty liberty cell in the same region defined by the opponent's surrounding net.
         
    Offensive tactics include:
    - Threatening to capture over-extended pieces, 
    -- especially to pick off a single stone in diagonal-plus-double-knight's-move triangle,
    -- covering liberties in uncontrolled areas to capture a larger group or to make group life harder to achieve,
    -- or by creating forks.
    
    - Using knight's moves to quickly fence off large territory. 
    -- enclosing more liberties and spaces to place on so that ones groups can survive longest
    - Reinforcing threatened knight's connections by adding a stone there.
    
    Defensive tactics include: Blocking threats by 
    - breaking a knight's move connection by extending a line of stones across it. 
    - placing on the site the opponent needs to complete the threat,
    - encircling the threat location, or for edges sites, 
    - reducing the cut-off region to one empty edge site.
    
    Notes: 
    -- Spacing of the liberties is arbitrary, but has been standardized to a regular spacing that can work on small and large boards, in order to allow the transfer of tactical knowledge from size to size.
    -- The distribution is purposefully asymmetrical to allow the greatest variety of pie offerings. 
    -- If the game is to be played without a pie rule, a symmetrical arrangement is preferred for greater balance.
    The pie rule means that the game is a proven 2nd-player win, and the quality of the AI can be judged accordingly."
"Alice Chess","Pieces move the same as they do in standard chess, but a piece transfers at the completion of its move to the opposite board."
"Symmetric Chess","Symmetric Chess is played following each and every rules of Chess but making two slight adjustments appropriate to the 9x8 board."
"Make Muster","Make Muster is one of several unification games that can be played on the Muster board. The Muster board is a rotated square board with ragged edges and 8 directions of connectivity. Standard sizes are order 2 through order 6. Each order board has 5 x the order squared playing positions."
"Fischer Random Chess","A variation of the game of chess invented by the former World Chess Champion Bobby Fischer."
Yavalax,"Yavalax is inspired by both Yavalath and Connect6."
Notakto,"Notakto is a misere 3-in-a-row game for two players. It's played on the squares of a finite number of initially empty 3x3 boards. All pieces are exactly the same and are shared by both players."
Thermenmuseum,"Potential board game found in the Thermenmuseum, Netherlands."
"Astralesce and Constellation","'Astralesce' and 'Constellate' are games based loosely on Kanare Kato's 'Advanced Squish'.
    
    The mechanism found in 'advanced Squish' of: 'move toward in-line-targets that are part of larger groups', is extended in these games to a future look-ahead restriction, i.e.:
    'move along a line from a starting location to a location that is in line with a larger group than the moving piece had been in line with before.'
    
    This is inherently difficult perceptually, and it remains to be seen if the game can be played without the assistance of an app.
    
    However the game is both interesting and exciting, and appears to have various levels of strategy.     
      
    The goal is unification, and causing a stalemate before achieving the goal is considered a loss.
    
    'Astralesce' has sliding moves and captures that can remove multiple pieces. Thus stalemate is impossible, as the opponent cannot block movement. This is the preferred game.
    
    'Constellation' also has sliding moves, but only allows capture at the move's desination. This means opponent's pieces can block some potential destinations."
"Conflagration and Keep-a-riding","Two of several Games inspired by Kanare Kato's 'Squish'
            
            Originally 'Squish' was a unification game with step movement toward a friendly piece in-line, possibly involving a capture.  'Advanced Squish' added a requirement on non-capturing steps for the piece to become part of a larger group. (Singletons were exempted.)
            
            -- 'Keep-a-Riding' and 'Conflagration' differ from 'Squish' by being explicitly stalemate games: Last to move wins or loses, respectively.  
            They also differ by using slide captures, and by not including the 'Squish' core principle that requires movement toward in-line friendly pieces. 
            Instead, they require the step move to bring the moving piece into new contact with another friendly piece.            
            They typically end with only a few pieces on the board, and one player may be entirely eliminated.
            
            'Keep-a-Riding' is themed as a 'last man standing' team demolition derby. But, knocking out an opponent's piece can only be done with pieces that cannot step to become part of a larger group.
            
            'Conflagration', is themed 'fighting fire with fire': Getting eliminated is a win. Containment, where none of your flame pieces can move, is also a win.
            
        Conflagration has 2 subvariants 'Firestorm' and 'BackFire' in which the choice of moves that each flame piece can take are prioritized.
        - BackFire is shorter, more aggressive, because a flame piece must capture (become a 'backfire') if it can. 
        - Firestorm requires a flame piece to step to join its own kind if it can, leading to a slower elimination of the flames in the end game."
"Don't Mosey and The Last Scavenger","Games inspired by Kanare Kato's 'Squish'
    
    'Don't Mosey' and 'The Last Scavenger' are based on Kanare Kato's work developing 'Squish' and 'Advanced Squish'.
    
    Originally 'Squish' was a unification game with step movement toward a friendly piece in-line, possibly involving a capture.  'Advanced Squish' added a requirement on non-capturing steps for the piece to become part of a larger group. (Singletons were exempted.)
    
    -- 'Don't Mosey'and 'The Last Scavenger' differ by being explicitly stalemate games: Last to move wins or loses depending on the game. 
     
    They also differ by using slide moves instead of steps, and having a different 'larger group' rule that restricts empty destination choices, but applies to any group formed along the path, and does not restrict captures (which must be the first opponent along the path)."
"Double-Move Situ","Double-move Situ is based on 'Situ' a finite, Line-of-Sight game with the goal of being the last player able to complete their turn. The game is based on the choice of placing one's own piece or removing an opponent's piece.

It can be played on hex grids, square grids or square grids with diagonals.
The original Situ was played on a Hex grid with N, N+1 edges and a single stone pie-rule as an option.

In contrast, 'Double-move Situ' starts with a single placement followed by double moves thereafter. Therefore centerless boards with an even number of nodes are used, and a Hex with edges N, N+2 assures this. 

However there is a changing parameter that determines which sites are controlled, and this parameter affects balance. So, the first player has the option of removing upto 2 nodes from the board, before the 2nd player starts with the single piece placement.

Placement must be on empty nodes that are not controlled by the opponent, while removals are taken from nodes that the mover controls.

Control is determined by the difference in count between the two player's pieces in line-of-sight of the given node. This difference is the  parameter for the game.  When the its value is met or exceeded, the player with the excess LoS pieces controls the site.

In the original Situ this parameter is fixed at 2. In Double-move Situ it can be set from 1 to 4. The lower the number, the larger number of restricted nodes and possible captures, so the more tactical the game is. With higher numbers the game becomes more strategic. In any case, the game is finite, ending with one player running out of nodes to play upon.

History:
Situ is a descendant of my game Shaka that was designed as an exploration of line-of-sight. Shaka triggered the creation of Michał Zapała's 'Tore' and a flurry of LoS games on BGG Abstract Forum. While Situ may have helped stimulate Michał Zapała's 'Tumbleweed' As Alek Erikson tested Situ with me before assisting Michał with Tumbleweed's development.

Steve Metzger and Luis Bolaños Mures 'Stigmergy' is a similar game, a simplification of 'Tumbleweed', that uses a majority of friendly LoS cells rather than a majority of the players pieces for control, and capture in that game is a flip whereas in 'Situ' it is a simple removal.

A recent BGG thread proposing a game 'InSight' stimulated me to script my original game and create this new version. "
"Loop Xiangqi","Loop Xiangqi is a Xiangqi variant that incorporates the reintroduction of captured pieces into Xiangqi."
"Chaturanga (Kridakausalya 14x14)","Chaturanga is a game with replacement captures played in India since the early centuries CE. This version was played in the nineteenth century on a 14x14 board."
"Dogtown Clans","'Dogtown Clans' is a simplification of Double-move Situ and resembles Ki, as well. 
Differences from Ki include double moves, individual captures requiring a separate move without replacement, a last-able-to-move goal, preference for hex grid, and a parameter to define control.
Difference from Situ is that control is based on adjacency.

Like Situ, the game is based on the choice of placing one's own piece or removing an opponent's piece.

It can be played on hex grids, square grids or square grids with diagonals.

Placement must be on empty nodes that are not controlled by the opponent, while removals are taken from nodes that the mover controls. 

This control is determined by the difference in quantity of the two player's pieces that are adjacent to the given node. 
This difference is a parameter for the game, and when the value of the parameter is met or exceded, the player with the excess LoS pieces controls the site.
The default for the parameter is 3."
"Pasakakrida (Type 1)","Pasakakrida is a race game that was described in the Manasollasa, a twelfth-century CE Sanskrit text from India. The game could be played with either four-sided or six-sided dice."
"Pasakakrida (Type 2)","Pasakakrida is a race game that was described in the Manasollasa, a twelfth-century CE Sanskrit text from India. The game could be played with either four-sided or six-sided dice.

"
"Pasakakrida (Type 3)","Pasakakrida is a race game that was described in the Manasollasa, a twelfth-century CE Sanskrit text from India. The game could be played with either four-sided or six-sided dice.
"
"Pasakakrida (Type 4)","Pasakakrida is a race game that was described in the Manasollasa, a twelfth-century CE Sanskrit text from India. The game could be played with either four-sided or six-sided dice.
"
"Pasakakrida (Type 5)","Pasakakrida is a race game that was described in the Manasollasa, a twelfth-century CE Sanskrit text from India. The game could be played with either four-sided or six-sided dice.
"
"Pasakakrida (Type 6)","Pasakakrida is a race game that was described in the Manasollasa, a twelfth-century CE Sanskrit text from India. The game could be played with either four-sided or six-sided dice.
"
"Rabbit Warrens","This game was designed to meet a challenge of making a territorial game without placement or capture. 
    It also is a loop-forming game, as territory is defined as the area contained within loops - but the goal is not first to make a loop, but rather territory scoring.
    
    The scoring is unique as far as I know. The score is the product of two factors: 
    The first factor is the count of all the empty spaces fully surrounded by the player's pieces (edges don't count as an enclosure)
    The second factor is the number of distinct regions that a player's pieces enclose. A region includes both empty sites and sites occupied by the opponent.
    
    As a player fills a space to sub-divide it, one factor is traded off for the other.
    The board is scaled to be half full with each player having roughly the square of the number of pieces needed to enclose an area equal to the pieces used to enclose it.
    
    Movement is designed to progressively increase density. This moves pieces into contact to form loops, subdived them, and in the extreme, to fill them. 
    Players determine when their score is optimized and pass successively to end the game. 
    
    For flexibility, of movement, pieces can also move to sites of equal friendly density, which makes the game a race with the potential for cooperative cycles. 
    
    To prevent cold positions that would cause forced cycling, there is a secondary restriction for this case: pieces most move to have fewer adjacent enemies. 
    
    This makes filling an opponent's territory difficult, or impossible if one doesn't already have a presence there.
    It also means pieces within or associated with enemy territory have high mobility, and may be used to create or expand territories in the end game (but often at the cost of significantly increasing the other player's score.)
    
    Tie breaker is the last to play loses, in keeping with the nature of a race for the highest score. 
    
    This game was designed in consultation with Alexander Brady."
Epoxy,"Epoxy is a version of 'Shaka' (my ancestor game a few other games including my game Situ.) Shaka was a territorial lines-of-sight game based on out-of-sight entry, sliding moves, increasing stone contact, capture by enclosure and double-pass ending. 

Epoxy does not involve capture, and is a survival game. It is played on a special, 'perforated' triangular grid that makes the game more manageable than pure Shaka by limiting the lines of sight and movement. 

Both Epoxy and Situ improve the balance and opening stability of Shaka by using a '12* double-move protocol' (that is, after the first placement, players alternate taking double turns.)

Epoxy differs from Situ in having no capture, but having movement. Movement is controlled by adjacency to the opponent's stones, effectively locking stones in place as they neighbour more and more opponent's stones. 

This creates territories that can be filled, as well as dead-zones for movement and/or placement. Due to this territorial nature, unlike Situ, turns may be partially passed, but a full pass is by definition a resignation.

Territory equates to the availability of future placements when other movement is no longer possible, and the goal is to be the last to play."
ConHex,"ConHex is an abstract strategy game for two players. Both aim to complete a contiguous chain of connected cells between the 2 sides of their colour. 

Cells are claimed by conquering them. In order to conquer a cell, players must surround it with pegs."
Agon,"Agon is a kind of race game played with pure strategy. Sometimes called Queen's Guard, the game features a queen and six guards for each of the two players. The object is to get one's queen to the centre of the board, surrounded by her guards. The most notable aspect of this game is that it is one of the earliest to be played on a hexagonal grid."
"Monkey Queen","Monkey Queen is a two player game, played on a 12x12 checkboard."
Jostle,"Jostle is a two player game. The 10x10 board is initially set up with 16 red and 16 blue checkers. Red and
Blue, take turns moving checkers of their own color, one move per turn, starting with Red."
Atoll,"Atoll is a two player game played on a hexagonal pattern grid. The game starts with eight “islands” of stones surrounding
an empty grid. Each player takes possession of an entire set of stones of one color, black or white. Each player owns the islands of his stones’ color. "
Fractal,"Fractal is a two player game. The unique board, starts out empty. The two players, Red and Blue, take turns coloring cells with their own color, one cell per turn, starting with Red."
"Reach Chess","Discovered during Markus Niebisch's internship at Ludii, when a crossover-operator for games replaced the ending rule of Chess with the ending rule of hex.
It is interesting as it still plays like Chess, but leads to a much more offensive play with many more potential sacrifices."
Onyx,"Onyx is a two-player abstract strategy board game invented by Larry Back in 1995. The game features a rule for performing captures, making Onyx unique among connection games.
The Onyx board is a grid of interlocking squares and triangles, with pieces played on the points of intersection (as in Go). Each side of the board comprises twelve points."
Diamond,"Diamond is a two-player abstract strategy board game invented by Larry Back. The invention was inspired by the game Kensington, which uses a similar board pattern and game objective. Rules for Diamond were conceived in 1985 and finalized in 1994. Diamond introduces a new board geometry and neutral pieces, with the aim of enhancing the game dynamic and lowering the potential for draws.

Diamond was featured in the February 2013 issue of Games magazine."
"So Long Sucker","So Long Sucker is a board game invented in 1950 by John Forbes Nash, Mel Hausner, Lloyd S. Shapley and Martin Shubik. It is a four-person bargaining/economic strategy game. Each player begins the game with 7 chips, and in the course of play, attempts to acquire all the other players' chips."
